Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
K1-2-2,2,Spring,3,Soil,Soil,Kolluvisol,Luvisol,2,FALSE,0.26,1.8.2018,100,1,28,2800,10894.9,1.84,1.39,23.7,10.8.2018,16S,Eva27_K1-2-2_S236_L001_R1_001.fastq.gz
B1-2-2,2,Spring,3,Soil,Soil,Braunerde,Cambisol,2,FALSE,0.25,1.8.2018,100,1,46,4600,18254,1.84,1.86,37.2,10.8.2018,16S,Eva30_B1-2-2_S239_L001_R1_001.fastq.gz
A1-2-2,2,Spring,3,Soil,Soil,Auboden,Fluvisol,2,FALSE,0.26,1.8.2018,100,1,25,2500,9727.6,1.87,1.6,25.3,10.8.2018,16S,Eva33_A1-2-2_S242_L001_R1_001.fastq.gz
NTC,2,Spring,3,Control,Control,NA,NA,1,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,Eva12_NTC_S221_L001_R1_001.fastq.gz
GK9,3,Summer,4,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,NA
GK10,3,Summer,4,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,103,10300,42916666.67,1.87,1.94,173.2,26.11.2018; 28.11.2018,16S,Angel002-GK10_S247_L001_R1_001.fastq.gz
GK11,3,Summer,4,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.22,22.10.2018,100,1,105,10498.6,47720896.5,1.89,2.04,177.9,26.11.2018; 28.11.2018,16S,Angel007-RK11-GK11_S252_L001_R1_001.fastq.gz
GK12,3,Summer,4,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,NA
RK9,3,Summer,4,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.23,22.10.2018,100,1,37,3702.8,16098940.27,1.84,1.91,65.8,26.11.2018; 28.11.2018,16S,Angel005-RK9_S250_L001_R1_001.fastq.gz
RK10,3,Summer,4,Teabag,Rooibos,Kolluvisol,Luvisol,2,FALSE,0.24,22.10.2018,100,1,41,4097.5,17072930.37,1.87,1.84,78,26.11.2018; 28.11.2018,16S,Angel006-RK10_S251_L001_R1_001.fastq.gz
RK11,3,Summer,4,Teabag,Rooibos,Kolluvisol,Luvisol,3,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16S,NA
RK12,3,Summer,4,Teabag,Rooibos,Kolluvisol,Luvisol,4,FALSE,0.26,22.10.2018,100,1,30,3008.7,11572015.04,1.87,1.73,51,26.11.2018; 28.11.2018,16S,Angel008-RK12_S253_L001_R1_001.fastq.gz
GB9,3,Summer,4,Teabag,Green tea,Braunerde,Cambisol,1,FALSE,0.2,22.10.2018,100,1,133,13326.3,66631637.81,1.9,1.97,225,26.11.2018; 28.11.2018,16S,Angel009-GB9_S254_L001_R1_001.fastq.gz
GB10,3,Summer,4,Teabag,Green tea,Braunerde,Cambisol,2,FALSE,0.24,22.10.2018,100,1,108,10797.9,44991177.32,1.89,1.98,180,26.11.2018; 28.11.2018,16S,Angel010-GB10_S255_L001_R1_001.fastq.gz
GB11,3,Summer,4,Teabag,Green tea,Braunerde,Cambisol,3,FALSE,0.21,23.10.2018,100,1,69,6902,32866729.57,2.01,1.78,139.3,26.11.2018; 28.11.2018,16S,Angel011-GB11_S256_L001_R1_001.fastq.gz
