"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_640","Seq_640",0.0271168220068236,-0.870563450724854,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_335","Seq_335",0.0803972503294416,0.869990998194114,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter"
"Seq_1138","Seq_1138",0.0226039017220422,0.869802290696093,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_499","Seq_499",0.0747421384483835,0.867865428258208,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_2584","Seq_2584",0.00458406587646979,-0.866611211659478,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Seq_1316","Seq_1316",0.0292955535513185,0.863991463767039,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_536","Seq_536",0.078966452062906,0.862469946377969,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified"
"Seq_328","Seq_328",0.0978284301496114,-0.860343619969192,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_62","Seq_62",0.254025909962967,-0.857538149588125,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_3455","Seq_3455",0.0065261320257952,-0.852191936794829,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_967","Seq_967",0.039832972776568,0.851924297851084,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_495","Seq_495",0.0426379508323679,0.851302254875348,"Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","Unclassified"
"Seq_733","Seq_733",0.0408647854343455,-0.850886829169786,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
