"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_230","Seq_230",0.113769615817444,2.0647538183516,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"Seq_10","Seq_10",1.31305711853739,2.06238949612569,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_983","Seq_983",0.0219335601911754,2.05891359475521,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_563","Seq_563",0.0655658982232212,-2.04016785965888,"Rare","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"Seq_295","Seq_295",0.156600593829129,-2.02902844702242,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_979","Seq_979",0.0237728989891102,2.02544864005582,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_581","Seq_581",0.0569268251680087,-2.02490257901284,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_421","Seq_421",0.0385444654234996,2.02105606148463,"Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Unclassified"
"Seq_366","Seq_366",0.0558775136752053,2.02070813812055,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_493","Seq_493",0.0660864193313906,-2.01144643705875,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter"
"Seq_965","Seq_965",0.0230034282349658,2.00434935537173,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_606","Seq_606",0.0396107648236749,1.99386246598629,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_564","Seq_564",0.0743420765529862,-1.99336849918989,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_224","Seq_224",0.157589102427313,-1.98361547257713,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_214","Seq_214",0.165832743303209,-1.98128189621827,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_369","Seq_369",0.0418599698834522,-1.9781637072981,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"Seq_87","Seq_87",0.345881645177959,1.97556681117145,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_466","Seq_466",0.037999896226824,-1.97444904180104,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_291","Seq_291",0.0678174497149176,1.96728370726579,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_585","Seq_585",0.0637013762785266,-1.9584726586105,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
