"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_288","Seq_288",0.0330166157792974,-0.863276720062681,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_942","Seq_942",0.0095765225155419,-0.862780295714302,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_27","Seq_27",0.830038752389239,0.858450151554777,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_47","Seq_47",0.86991771934759,-0.857766770824741,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_647","Seq_647",0.0189556039348754,-0.856938206220243,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea"
"Seq_90","Seq_90",0.381337774709579,0.855300633459258,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_870","Seq_870",0.027954156600541,-0.854866468219123,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Seq_95","Seq_95",0.128266312570096,-0.853156595276667,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Seq_174","Seq_174",0.118795639341096,-0.852729532106659,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_73","Seq_73",0.021320565350864,0.850879365027658,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_644","Seq_644",0.0446347472151604,-0.847550378834279,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_93","Seq_93",0.403532237528494,-0.847026806989004,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_598","Seq_598",0.0290657837037197,-0.84675708708119,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_1997","Seq_1997",0.00702246201030221,0.846709783967377,"Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"Seq_369","Seq_369",0.0167904326175174,-0.844724376063326,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"Seq_2014","Seq_2014",0.00924445012261827,0.83970062468324,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_258","Seq_258",0.0413409252939204,-0.834336739092209,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"Seq_1057","Seq_1057",0.020648612549388,-0.833221091930155,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_83","Seq_83",0.367277231611801,-0.832061022755092,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_1320","Seq_1320",0.0155717170190422,0.832052269122088,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Seq_627","Seq_627",0.0403936358224785,-0.828792322237907,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis"
"Seq_754","Seq_754",0.0362618145730262,-0.827484945819117,"Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"Seq_2221","Seq_2221",0.00692050124854583,-0.82339198265932,"Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"Seq_1578","Seq_1578",0.0123534141531363,0.82141337508467,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_2469","Seq_2469",0.00586423847444196,0.810850392937043,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_1548","Seq_1548",0.0129881551830944,0.799412550512755,"Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"Seq_1020","Seq_1020",0.0196728753802696,0.794099136653208,"Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus"
"Seq_7","Seq_7",2.83062380171928,-0.791688178245955,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_103","Seq_103",0.0108550536340389,-0.791409094732066,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_811","Seq_811",0.0299804234417019,0.788664554919983,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_2046","Seq_2046",0.00715543483977891,-0.788439671294614,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Seq_464","Seq_464",0.0555960759678585,0.785786036227928,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_2110","Seq_2110",0.00844944441845965,0.784409475799792,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_1525","Seq_1525",0.0118240483045493,0.784192842458527,"Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Seq_32","Seq_32",0.0330220789862314,0.782615779576869,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_201","Seq_201",0.0919751945753326,-0.774698960678962,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_275","Seq_275",0.0996801604699207,0.773022861963567,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1895","Seq_1895",0.0098269672649896,0.772014356391585,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_285","Seq_285",0.127210566543031,-0.771205758648804,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_536","Seq_536",0.00575459862438731,-0.770849667569955,"Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified"
